id,name,url,poster,average_rating
tt0078480,Watership Down,https://www.imdb.com/title/tt0078480,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.6
tt0216651,Vampire Hunter D: Bloodlust,https://www.imdb.com/title/tt0216651,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.6
tt0102587,Only Yesterday,https://www.imdb.com/title/tt0102587,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.6
tt0079833,Lupin III: The Castle of Cagliostro,https://www.imdb.com/title/tt0079833,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.6
tt0923811,Evangelion: 1.0 You Are (Not) Alone,https://www.imdb.com/title/tt0923811,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.6
tt4272866,The Boy and the Beast,https://www.imdb.com/title/tt4272866,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.6
tt9426210,Weathering with You,https://www.imdb.com/title/tt9426210,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.5
tt0268380,Ice Age,https://www.imdb.com/title/tt0268380,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.5
tt0070608,Robin Hood,https://www.imdb.com/title/tt0070608,"https://m.media-amazon.com/images/M/MV5BYjUwMzhkM2ItMTU2OC00OTQ5LWJlMDUtMzRmYjc0NDUyNGVhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",7.5
tt0983213,5 Centimeters per Second,https://www.imdb.com/title/tt0983213,"https://m.media-amazon.com/images/M/MV5BODJhZDU1MDYtMDQ0NS00N2JmLWI2ZDAtMGNmN2RmNWJhNzQ5L2ltYWdlXkEyXkFqcGdeQXVyNjY1OTY4MTk@._V1_UY98_CR1,0,67,98_AL_.jpg",7.5
tt0312004,The Curse of the Were-Rabbit,https://www.imdb.com/title/tt0312004,"https://m.media-amazon.com/images/M/MV5BZmExY2Y3NGQtMzg5ZC00MGY1LTk3ZjktNWYyYzYwMTA1MTUwXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_UY98_CR0,0,67,98_AL_.jpg",7.5
tt0032910,Pinocchio,https://www.imdb.com/title/tt0032910,"https://m.media-amazon.com/images/M/MV5BMTU4Mzk3ODIyOF5BMl5BanBnXkFtZTgwODgyNzk2NjE@._V1_UX67_CR0,0,67,98_AL_.jpg",7.5
tt0245429,Spirited Away,https://www.imdb.com/title/tt0245429,"https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",8.6
tt0110357,The Lion King,https://www.imdb.com/title/tt0110357,"https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_UX67_CR0,0,67,98_AL_.jpg",8.5
tt0095327,Grave of the Fireflies,https://www.imdb.com/title/tt0095327,"https://m.media-amazon.com/images/M/MV5BZmY2NjUzNDQtNTgxNC00M2Q4LTljOWQtMjNjNDBjNWUxNmJlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg",8.5
tt4633694,Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694,"https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_UX67_CR0,0,67,98_AL_.jpg",8.4
tt5311514,Your Name.,https://www.imdb.com/title/tt5311514,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.4
tt0910970,WALL�E,https://www.imdb.com/title/tt0910970,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.4
tt2380307,Coco,https://www.imdb.com/title/tt2380307,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.4
tt0114709,Toy Story,https://www.imdb.com/title/tt0114709,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.3
tt1049413,Up,https://www.imdb.com/title/tt1049413,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.3
tt0119698,Princess Mononoke,https://www.imdb.com/title/tt0119698,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.3
tt0435761,Toy Story 3,https://www.imdb.com/title/tt0435761,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.3
tt0266543,Finding Nemo,https://www.imdb.com/title/tt0266543,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.2
tt0347149,Howl's Moving Castle,https://www.imdb.com/title/tt0347149,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.2
tt11032374,Demon Slayer the Movie: Mugen Train,https://www.imdb.com/title/tt11032374,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.2
tt4729430,Klaus,https://www.imdb.com/title/tt4729430,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.2
tt0382932,Ratatouille,https://www.imdb.com/title/tt0382932,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.1
