user_id,movie_id,rate
disdressed12,Inception,7
AJ4F,Inception,5
raulfaust,Inception,4
FeastMode,Inception,10
dixxjamm,Inception,2
filipemanuelneto,Inception,7
zkonedog,Inception,7
RobTheWatcher,Inception,9
Christian_Dimartino,Inception,10
moviewizguy,Inception,7
bkoganbing,Inception,9
areatw,Inception,4
ziancara,Inception,10
g-96059,Inception,8
moonspinner55,Inception,7
dragokin,Inception,4
namashi_1,Inception,10
Theo Robertson,Inception,5
deatman9,Inception,1
youthandyoungmanhood,Inception,4
Quinoa1984,Inception,9
RonellSowes,Inception,3
DanB-4,The Godfather Part II,10
MovieAddict2016,The Godfather Part II,10
OriginalMovieBuff21,The Godfather Part II,10
alexkolokotronis,The Godfather Part II,10
Leofwine_draca,The Godfather Part II,8
TheLittleSongbird,The Godfather Part II,10
TBJCSKCNRRQTreviews,The Godfather Part II,10
Pjtaylor-96-138044,The Godfather Part II,8
auuwws,The Godfather Part II,10
sarabagi,The Godfather Part II,10
bkoganbing,The Godfather Part II,10
Xstal,The Godfather Part II,7
sme_no_densetsu,The Godfather Part II,7
Quinoa1984,The Godfather Part II,10
gavin6942,The Godfather Part II,9
classicsoncall,The Godfather Part II,10
estebangonzalez10,The Godfather Part II,10
RussHog,The Godfather Part II,10
paul2001sw-1,The Godfather Part II,8
Coxer99,The Godfather Part II,10
saadanathan,The Godfather Part II,9
DKosty123,The Godfather Part II,10
Thanos_Alfie,The Godfather Part II,9
kenjha,The Godfather Part II,10
calspers,The Godfather Part II,10
Spleen,The Godfather Part II,9
bobsgrock,The Godfather Part II,9
FilmFanInTheHouse,The Godfather Part II,10
utgard14,The Godfather Part II,10
stallone-9,The Godfather Part II,10
secondtake,The Godfather Part II,9
LeonLouisRicci,The Godfather Part II,10
george.schmidt,The Godfather Part II,10
ElMaruecan82,The Godfather Part II,10
jacobmeyerjkm,The Godfather Part II,10
NikkoFranco,The Godfather Part II,10
Azzurrim17,The Godfather Part II,10
barankaradag-28748,The Godfather Part II,10
RonellSowes,The Godfather Part II,7
ThunderKing6,The Godfather Part II,10
851222,The Godfather Part II,10
L_Copa,The Godfather Part II,4
arthur_tafero,The Godfather Part II,10
damianphelps,The Godfather Part II,7
SnoopyStyle,The Godfather Part II,9
Vartiainen,The Godfather Part II,9
Movie_Muse_Reviews,The Godfather Part II,10
ebiros2,The Godfather Part II,10
ackstasis,The Godfather Part II,9
Kakueke,The Godfather Part II,5
HabibieHakim123,The Godfather Part II,7
lambiepie-2,The Godfather Part II,10
Brawl_666,The Godfather Part II,9
one9eighty,The Godfather Part II,10
martinpersson97,The Godfather Part II,10
mikayakatnt,The Godfather Part II,10
ofpsmith,The Godfather Part II,10
eagandersongil,The Godfather Part II,10
lee_eisenberg,The Godfather Part II,10
xiaoli7377,The Godfather Part II,10
jboothmillard,The Godfather Part II,10
h-28658,The Godfather Part II,10
ArmandoManuelPereira,The Godfather Part II,8
namashi_1,The Godfather Part II,10
lesleyharris30,The Godfather Part II,9
WubsTheFadger,The Godfather Part II,10
kuangzao,The Godfather Part II,10
alshamari-marwa,The Godfather Part II,9
vpashish,The Godfather Part II,10
kaaffilm,The Godfather Part II,10
Doylenf,The Godfather Part II,7
jlspenc-35519,The Godfather Part II,10
ethlaid,The Godfather Part II,10
Xarx117,The Godfather Part II,10
rmax304823,The Godfather Part II,8
