user_id,movie_id,count
784a46a3f59411ed97cb8cc60f1a693e,tt1628033,9
784a46a3f59411ed97cb8cc60f1a693e,tt1865505,9
784a46a3f59411ed97cb8cc60f1a693e,tt0317705,10
784a46a3f59411ed97cb8cc60f1a693e,tt0106028,10
784a46a3f59411ed97cb8cc60f1a693e,tt1710308,10
784a46a3f59411ed97cb8cc60f1a693e,tt10850932,11
784a46a3f59411ed97cb8cc60f1a693e,tt1646971,11
784a46a3f59411ed97cb8cc60f1a693e,tt0126029,11
784a46a3f59411ed97cb8cc60f1a693e,tt20115096,12
784a46a3f59411ed97cb8cc60f1a693e,tt0310455,16
784a46a3f59411ed97cb8cc60f1a693e,tt23219684,16
784a46a3f59411ed97cb8cc60f1a693e,tt0303461,17
784a46a3f59411ed97cb8cc60f1a693e,tt9253866,17
784a46a3f59411ed97cb8cc60f1a693e,tt0106364,18
784a46a3f59411ed97cb8cc60f1a693e,tt0097757,18
784a46a3f59411ed97cb8cc60f1a693e,tt0129167,21
784a46a3f59411ed97cb8cc60f1a693e,tt2948356,21
784a46a3f59411ed97cb8cc60f1a693e,tt0032138,21
784a46a3f59411ed97cb8cc60f1a693e,tt0808506,21
784a46a3f59411ed97cb8cc60f1a693e,tt0031679,21
784a46a3f59411ed97cb8cc60f1a693e,tt0268380,21
784a46a3f59411ed97cb8cc60f1a693e,tt5104604,21
784a46a3f59411ed97cb8cc60f1a693e,tt0923811,21
784a46a3f59411ed97cb8cc60f1a693e,tt7979580,21
784a46a3f59411ed97cb8cc60f1a693e,tt0120735,8
784a46a3f59411ed97cb8cc60f1a693e,tt0268093,7
784a46a3f59411ed97cb8cc60f1a693e,tt0035446,8
784a46a3f59411ed97cb8cc60f1a693e,tt4302938,8
784a46a3f59411ed97cb8cc60f1a693e,tt0312004,8
784a46a3f59411ed97cb8cc60f1a693e,tt0080684,7
784a46a3f59411ed97cb8cc60f1a693e,tt0421357,6
784a46a3f59411ed97cb8cc60f1a693e,tt0432283,6
784a46a3f59411ed97cb8cc60f1a693e,tt3718778,7
784a46a3f59411ed97cb8cc60f1a693e,tt0286244,6
784a46a3f59411ed97cb8cc60f1a693e,tt0278238,5
784a46a3f59411ed97cb8cc60f1a693e,tt0149460,5
784a46a3f59411ed97cb8cc60f1a693e,tt2096673,4
784a46a3f59411ed97cb8cc60f1a693e,tt0097576,4
784a46a3f59411ed97cb8cc60f1a693e,tt0082971,3
784a46a3f59411ed97cb8cc60f1a693e,tt0096438,3
784a46a3f59411ed97cb8cc60f1a693e,tt0029583,2
784a46a3f59411ed97cb8cc60f1a693e,tt0096548,2
784a46a3f59411ed97cb8cc60f1a693e,tt0978762,2
