id,name,poster,average_rating
tt0096283,My Neighbor Totoro,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.1
tt0129167,The Iron Giant,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.1
tt0169858,Neon Genesis Evangelion: The End of Evangelion,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.1
tt0978762,Mary and Max,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.1
tt2140203,Wolf Children,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.1
tt2948356,Zootopia,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt0317705,The Incredibles,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt0103639,Aladdin,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt2948372,Soul,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt0101414,Beauty and the Beast,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt0156887,Perfect Blue,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt0094625,Akira,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt0092067,Castle in the Sky,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt5198068,Wolfwalkers,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt2576852,The Tale of The Princess Kaguya,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt1865505,Song of the Sea,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt0808417,Persepolis,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt0126029,Shrek,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.9
tt0432283,Fantastic Mr. Fox,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.9
tt0120363,Toy Story 2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.9
tt0107688,The Nightmare Before Christmas,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.9
tt0113824,Whisper of the Heart,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.9
tt5104604,Isle of Dogs,"https://m.media-amazon.com/images/M/MV5BZDQwOWQ2NmUtZThjZi00MGM0LTkzNDctMzcyMjcyOGI1OGRkXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_UX67_CR0,0,67,98_AL_.jpg",7.8
tt1646971,How to Train Your Dragon 2,"https://m.media-amazon.com/images/M/MV5BMzMwMTAwODczN15BMl5BanBnXkFtZTgwMDk2NDA4MTE@._V1_UX67_CR0,0,67,98_AL_.jpg",7.8
tt3262342,Loving Vincent,"https://m.media-amazon.com/images/M/MV5BMTU3NjE2NjgwN15BMl5BanBnXkFtZTgwNDYzMzEwMzI@._V1_UX67_CR0,0,67,98_AL_.jpg",7.8
tt5491994,Planet Earth II,"https://m.media-amazon.com/images/M/MV5BMGZmYmQ5NGQtNWQ1MC00NWZlLTg0MjYtYjJjMzQ5ODgxYzRkXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY67_CR1,0,45,67_AL_.jpg",9.4
tt0795176,Planet Earth,"https://m.media-amazon.com/images/M/MV5BMzMyYjg0MGMtMTlkMy00OGFiLWFiNTYtYmFmZWNmMDFlMzkwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY67_CR1,0,45,67_AL_.jpg",9.4
tt0185906,Band of Brothers,"https://m.media-amazon.com/images/M/MV5BMTI3ODc2ODc0M15BMl5BanBnXkFtZTYwMjgzNjc3._V1_UX45_CR0,0,45,67_AL_.jpg",9.4
tt7366338,Chernobyl,"https://m.media-amazon.com/images/M/MV5BNTdkN2QwMDItMDVhNS00ZjFiLWEzNTctMzY5ODQzYWNkMDllXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_UY67_CR2,0,45,67_AL_.jpg",9.3
tt0417299,Avatar: The Last Airbender,"https://m.media-amazon.com/images/M/MV5BODc5YTBhMTItMjhkNi00ZTIxLWI0YjAtNTZmOTY0YjRlZGQ0XkEyXkFqcGdeQXVyODUwNjEzMzg@._V1_UY67_CR0,0,45,67_AL_.jpg",9.2
tt0141842,The Sopranos,"https://m.media-amazon.com/images/M/MV5BZGJjYzhjYTYtMDBjYy00OWU1LTg5OTYtNmYwOTZmZjE3ZDdhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY67_CR1,0,45,67_AL_.jpg",9.2
tt2395695,Cosmos: A Spacetime Odyssey,"https://m.media-amazon.com/images/M/MV5BZTk5OTQyZjYtMDk3Yy00YjhmLWE2MTYtZmY4NTg1YWUzZTQ0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY67_CR0,0,45,67_AL_.jpg",9.2
tt9253866,Our Planet,"https://m.media-amazon.com/images/M/MV5BZmM2OWEyN2EtZWY2NS00ZDA3LWFlNTAtNzUzMGQwZWVlZmE4XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY67_CR1,0,45,67_AL_.jpg",9.2
tt0944947,Game of Thrones,"https://m.media-amazon.com/images/M/MV5BYTRiNDQwYzAtMzVlZS00NTI5LWJjYjUtMzkwNTUzMWMxZTllXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UY67_CR2,0,45,67_AL_.jpg",9.1
tt0071075,The World at War,"https://m.media-amazon.com/images/M/MV5BZTIwOWEyMjctMjQwNS00ODZiLThmMWEtYWQ1OWFiYzQ2OWYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UX45_CR0,0,45,67_AL_.jpg",9.1
tt2861424,Rick and Morty,"https://m.media-amazon.com/images/M/MV5BZjRjOTFkOTktZWUzMi00YzMyLThkMmYtMjEwNmQyNzliYTNmXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_UX45_CR0,0,45,67_AL_.jpg",9.1
